id,department_id,manager_id,assigned_at,assigned_by,is_active
1,1,8,10/9/2025 7:16:01 PM,6,1
2,2,8,10/9/2025 7:16:11 PM,6,1
3,3,8,10/9/2025 7:16:22 PM,6,1
4,4,8,10/9/2025 7:16:38 PM,6,1
5,5,8,10/10/2025 12:15:18 PM,6,1
